Target;Input01;Input02;Input03;Input04;Input05;Input06;Input07;Input08
838,37;11,26;1059,74;620,13;54,16;58,92;11,78;50,56;2088,52
836,00;11,26;1059,87;627,38;53,80;58,82;11,76;50,86;2045,56
839,02;11,26;1060,27;624,50;53,38;58,63;11,73;51,19;2066,00
848,64;11,25;1060,13;615,38;53,82;58,40;11,68;51,51;2078,98
838,77;11,24;1059,74;626,13;53,22;58,13;11,63;51,82;2089,07
838,94;11,15;1060,13;624,75;52,63;57,80;11,56;52,11;2067,50
839,02;11,33;1060,13;626,37;52,79;57,42;11,48;52,40;2094,91
844,24;11,35;1060,13;620,13;53,14;57,03;11,41;52,66;2101,03
846,12;11,16;1060,00;619,62;52,46;56,63;11,33;52,92;2086,04
842,93;11,19;1060,27;611,63;53,05;56,19;11,24;53,12;2110,42
837,39;11,34;1059,60;621,25;52,28;55,78;11,16;53,14;2063,75
840,73;11,35;1059,87;614,25;52,99;55,39;11,08;52,91;2113,14
847,50;11,31;1060,00;623,75;52,70;55,08;11,02;52,45;2100,52
843,02;11,29;1060,13;622,62;52,48;54,86;10,97;51,90;2102,41
840,49;11,28;1059,87;623,50;52,84;54,73;10,95;51,30;2048,48
838,37;11,27;1060,40;620,25;53,09;54,70;10,94;50,71;2105,21
837,79;11,27;1060,00;623,62;53,09;54,74;10,95;50,19;2061,74
836,65;11,26;1060,00;617,37;52,67;54,88;10,98;49,75;2065,40
836,81;11,26;1060,27;626,75;53,06;55,01;11,00;49,43;2079,61
839,59;11,26;1059,87;625,13;52,31;55,17;11,03;49,21;2068,64
844,97;11,26;1060,13;613,13;52,26;55,38;11,08;49,07;2064,38
839,67;11,26;1060,00;613,88;52,29;55,63;11,13;48,96;2047,34
845,87;11,26;1060,27;619,50;52,12;55,86;11,17;48,90;2079,41
844,73;11,13;1059,60;624,25;52,84;56,12;11,22;48,86;2060,00
836,57;11,06;1059,74;619,00;50,68;56,37;11,27;48,84;2026,51
843,75;11,23;1060,53;623,12;52,44;56,63;11,33;48,83;2060,16
844,32;11,30;1060,00;617,50;52,26;56,90;11,38;48,83;2061,97
841,30;11,22;1059,74;623,75;53,18;57,16;11,43;48,84;2076,88
851,91;11,25;1059,60;621,50;53,62;57,39;11,48;48,87;2116,14
846,28;11,36;1060,27;618,88;54,35;57,57;11,51;48,92;2099,53
844,57;11,31;1060,27;618,00;54,33;57,74;11,55;49,01;2097,40
849,22;11,18;1059,74;627,88;53,64;57,96;11,59;49,16;2075,11
844,81;11,20;1060,27;612,00;51,57;58,20;11,64;49,35;2019,13
841,71;11,22;1060,00;615,63;52,19;58,42;11,68;49,56;2074,48
834,04;11,23;1060,00;618,00;53,92;58,64;11,73;49,82;2088,56
835,75;11,25;1059,47;617,13;54,42;58,79;11,76;50,08;2128,84
831,19;11,25;1060,13;620,00;52,99;58,90;11,78;50,36;2114,95
837,47;11,25;1060,40;626,63;54,30;58,95;11,79;50,63;2136,77
834,69;11,26;1059,87;620,75;54,53;58,94;11,79;50,93;2128,37
829,15;11,26;1059,60;624,87;54,03;58,87;11,77;51,25;2149,35
843,10;11,26;1059,87;622,13;54,15;58,73;11,75;51,57;2091,17
836,57;11,26;1060,13;627,12;53,52;58,54;11,71;51,90;2062,80
839,10;11,26;1060,53;622,00;54,47;58,30;11,66;52,22;2130,81
841,38;11,25;1059,74;625,13;54,54;58,04;11,61;52,51;2114,01
835,51;11,13;1059,60;619,12;54,75;57,74;11,55;52,80;2083,95
846,69;11,10;1060,13;616,50;56,94;57,41;11,48;53,07;2142,81
